GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
ACTR3B,ENSG00000133627,57180,"ARP11, ARP3beta",actin related protein 3B,HGNC:17256,7q36.1-q36.2,
ACTR3C,ENSG00000106526,653857,ARP11,actin related protein 3C,HGNC:37282,7q36.1,
ACTR5,ENSG00000101442,79913,"FLJ12785, Arp5, INO80M",actin related protein 5,HGNC:14671,20q11.23,
ACTR6,ENSG00000075089,64431,"ARP6, FLJ13433",actin related protein 6,HGNC:24025,12q23.1,
ACTR8,ENSG00000113812,93973,"INO80N, ARP8",actin related protein 8,HGNC:14672,3p21.1,
ACTRT1,ENSG00000123165,139741,"AIP1, KIAA0705, ARIP1, Arp-T1",actin related protein T1,HGNC:24027,Xq25,300487
ACTRT2,ENSG00000169717,140625,"Arp-T2, ARPM2, FLJ25424",actin related protein T2,HGNC:24026,1p36.32,608535
ACTRT3,ENSG00000184378,84517,ARPM1,actin related protein T3,HGNC:24022,3q26.2,608534
ACVR1,ENSG00000115170,90,"SKR1, ALK2, ACVR1A",activin A receptor type 1,HGNC:171,2q24.1,102576
ACVR1B,ENSG00000135503,91,"ALK4, SKR2, ActRIB",activin A receptor type 1B,HGNC:172,12q13.13,601300
ACVR1C,ENSG00000123612,130399,"ALK7, ACVRLK7",activin A receptor type 1C,HGNC:18123,2q24.1,608981
ACVR2A,ENSG00000121989,92,ACTRII,activin A receptor type 2A,HGNC:173,2q22.3-q23.1,102581
ACVR2B,ENSG00000114739,93,ActR-IIB,activin A receptor type 2B,HGNC:174,3p22.2,602730
ACVRL1,ENSG00000139567,94,"HHT2, ALK1, HHT",activin A receptor like type 1,HGNC:175,12q13.13,601284
ACY1,ENSG00000243989,95,,aminoacylase 1,HGNC:177,3p21.2,104620
ACY3,ENSG00000132744,91703,"HCBP1, MGC9740, ACY-3",aminoacylase 3,HGNC:24104,11q13.2,614413
ACYP1,ENSG00000119640,97,,acylphosphatase 1,HGNC:179,14q24.3,600875
ACYP2,ENSG00000170634,98,,acylphosphatase 2,HGNC:180,2p16.2,102595
ADA,ENSG00000196839,100,,adenosine deaminase,HGNC:186,20q13.12,608958
ADA2,ENSG00000093072,51816,ADGF,adenosine deaminase 2,HGNC:1839,22q11.1,607575
ADAD1,ENSG00000164113,132612,Tenr,adenosine deaminase domain containing 1,HGNC:30713,4q27,614130
ADAD2,ENSG00000140955,161931,"TENRL, FLJ00337",adenosine deaminase domain containing 2,HGNC:30714,16q24.1,
ADAL,ENSG00000168803,161823,,adenosine deaminase like,HGNC:31853,15q15.3,
ADAM10,ENSG00000137845,102,"kuz, MADM, HsT18717, CD156C",ADAM metallopeptidase domain 10,HGNC:188,15q21.3,602192
ADAM11,ENSG00000073670,4185,,ADAM metallopeptidase domain 11,HGNC:189,17q21.31,155120
ADAM12,ENSG00000148848,8038,"MCMPMltna, MLTN",ADAM metallopeptidase domain 12,HGNC:190,10q26.2,602714
ADAM15,ENSG00000143537,8751,MDC15,ADAM metallopeptidase domain 15,HGNC:193,1q21.3,605548
ADAM17,ENSG00000151694,6868,"cSVP, CD156B",ADAM metallopeptidase domain 17,HGNC:195,2p25.1,603639
ADAM18,ENSG00000168619,8749,"tMDCIII, ADAM27",ADAM metallopeptidase domain 18,HGNC:196,8p11.22,
ADAM19,ENSG00000135074,8728,MLTNB,ADAM metallopeptidase domain 19,HGNC:197,5q33.3,603640
ADAM2,ENSG00000104755,2515,"PH-30b, PH30, CT15",ADAM metallopeptidase domain 2,HGNC:198,8p11.22,601533
ADAM20,ENSG00000134007,8748,,ADAM metallopeptidase domain 20,HGNC:199,14q24.2,603712
ADAM21,ENSG00000139985,8747,ADAM31,ADAM metallopeptidase domain 21,HGNC:200,14q24.2,603713
ADAM22,ENSG00000008277,53616,MDC2,ADAM metallopeptidase domain 22,HGNC:201,7q21.12,603709
ADAM23,ENSG00000114948,8745,MDC3,ADAM metallopeptidase domain 23,HGNC:202,2q33.3,603710
ADAM28,ENSG00000042980,10863,"eMDCII, MDC-Lm, MDC-Ls, ADAM23",ADAM metallopeptidase domain 28,HGNC:206,8p21.2,606188
ADAM29,ENSG00000168594,11086,"svph1, CT73",ADAM metallopeptidase domain 29,HGNC:207,4q34.1,604778
ADAM30,ENSG00000134249,11085,svph4,ADAM metallopeptidase domain 30,HGNC:208,1p12,604779
ADAM32,ENSG00000197140,203102,,ADAM metallopeptidase domain 32,HGNC:15479,8p11.22,
ADAM33,ENSG00000149451,80332,"DKFZp434K0521, dJ964F7.1",ADAM metallopeptidase domain 33,HGNC:15478,20p13,607114
ADAM7,ENSG00000069206,8756,"GP-83, EAPI",ADAM metallopeptidase domain 7,HGNC:214,8p21.2,607310
ADAM8,ENSG00000151651,101,"CD156, MS2, CD156A",ADAM metallopeptidase domain 8,HGNC:215,10q26.3,602267
ADAM9,ENSG00000168615,8754,"MDC9, KIAA0021, MCMP, Mltng",ADAM metallopeptidase domain 9,HGNC:216,8p11.22,602713
ADAMDEC1,ENSG00000134028,27299,M12.219,ADAM like decysin 1,HGNC:16299,8p21.2,606393
ADAMTS1,ENSG00000154734,9510,"C3-C5, METH1, KIAA1346",ADAM metallopeptidase with thrombospondin type 1 motif 1,HGNC:217,21q21.3,605174
ADAMTS10,ENSG00000142303,81794,ADAM-TS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,HGNC:13201,19p13.2,608990
ADAMTS12,ENSG00000151388,81792,,ADAM metallopeptidase with thrombospondin type 1 motif 12,HGNC:14605,5p13.3-p13.2,606184
ADAMTS13,ENSG00000160323,11093,"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322",ADAM metallopeptidase with thrombospondin type 1 motif 13,HGNC:1366,9q34.2,604134
ADAMTS14,ENSG00000138316,140766,,ADAM metallopeptidase with thrombospondin type 1 motif 14,HGNC:14899,10q22.1,607506
ADAMTS15,ENSG00000166106,170689,,ADAM metallopeptidase with thrombospondin type 1 motif 15,HGNC:16305,11q24.3,607509
ADAMTS16,ENSG00000145536,170690,ADAMTS16s,ADAM metallopeptidase with thrombospondin type 1 motif 16,HGNC:17108,5p15.32,607510
ADAMTS17,ENSG00000140470,170691,"FLJ32769, FLJ16363",ADAM metallopeptidase with thrombospondin type 1 motif 17,HGNC:17109,15q26.3,607511
ADAMTS18,ENSG00000140873,170692,,ADAM metallopeptidase with thrombospondin type 1 motif 18,HGNC:17110,16q23.1,607512
ADAMTS19,ENSG00000145808,171019,,ADAM metallopeptidase with thrombospondin type 1 motif 19,HGNC:17111,5q23.3,607513
ADAMTS2,ENSG00000087116,9509,"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI",ADAM metallopeptidase with thrombospondin type 1 motif 2,HGNC:218,5q35.3,604539
ADAMTS20,ENSG00000173157,80070,GON-1,ADAM metallopeptidase with thrombospondin type 1 motif 20,HGNC:17178,12q12,611681
ADAMTS3,ENSG00000156140,9508,"KIAA0366, ADAMTS-4",ADAM metallopeptidase with thrombospondin type 1 motif 3,HGNC:219,4q13.3,605011
ADAMTS4,ENSG00000158859,9507,"KIAA0688, ADAMTS-2, ADMP-1",ADAM metallopeptidase with thrombospondin type 1 motif 4,HGNC:220,1q23.3,603876
ADAMTS5,ENSG00000154736,11096,"ADMP-2, ADAMTS11",ADAM metallopeptidase with thrombospondin type 1 motif 5,HGNC:221,21q21.3,605007
ADAMTS6,ENSG00000049192,11174,ADAM-TS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,HGNC:222,5q12.3,605008
ADAMTS7,ENSG00000136378,11173,"ADAM-TS7, DKFZp434H204",ADAM metallopeptidase with thrombospondin type 1 motif 7,HGNC:223,15q25.1,605009
ADAMTS8,ENSG00000134917,11095,"METH2, FLJ41712, ADAM-TS8",ADAM metallopeptidase with thrombospondin type 1 motif 8,HGNC:224,11q24.3,605175
ADAMTS9,ENSG00000163638,56999,KIAA1312,ADAM metallopeptidase with thrombospondin type 1 motif 9,HGNC:13202,3p14.1,605421
ADAMTSL1,ENSG00000178031,92949,"ADAMTSR1, FLJ35283",ADAMTS like 1,HGNC:14632,9p22.2-p22.1,609198
ADAMTSL2,ENSG00000197859,9719,KIAA0605,ADAMTS like 2,HGNC:14631,9q34.2,612277
ADAMTSL3,ENSG00000156218,57188,"KIAA1233, punctin-2",ADAMTS like 3,HGNC:14633,15q25.2,609199
ADAMTSL4,ENSG00000143382,54507,DKFZP434K1772,ADAMTS like 4,HGNC:19706,1q21.2,610113
ADAMTSL5,ENSG00000185761,339366,,ADAMTS like 5,HGNC:27912,19p13.3,
ADAP1,ENSG00000105963,11033,GCS1L,ArfGAP with dual PH domains 1,HGNC:16486,7p22.3,608114
ADAP2,ENSG00000184060,55803,,ArfGAP with dual PH domains 2,HGNC:16487,17q11.2,608635
ADAR,ENSG00000160710,103,ADAR1,adenosine deaminase RNA specific,HGNC:225,1q21.3,146920
ADARB1,ENSG00000197381,104,"ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d",adenosine deaminase RNA specific B1,HGNC:226,21q22.3,601218
ADARB2,ENSG00000185736,105,"RED2, hRED2, ADAR3",adenosine deaminase RNA specific B2 (inactive),HGNC:227,10p15.3,602065
ADAT1,ENSG00000065457,23536,,adenosine deaminase tRNA specific 1,HGNC:228,16q23.1,604230
ADAT2,ENSG00000189007,134637,"dJ20N2.1, TAD2",adenosine deaminase tRNA specific 2,HGNC:21172,6q24.2,615388
ADAT3,ENSG00000213638,113179,TAD3,adenosine deaminase tRNA specific 3,HGNC:25151,19p13.3,615302
ADCK1,ENSG00000063761,57143,FLJ39600,aarF domain containing kinase 1,HGNC:19038,14q24.3,
ADCK2,ENSG00000133597,90956,MGC20727,aarF domain containing kinase 2,HGNC:19039,7q34,
ADCK5,ENSG00000173137,203054,FLJ35454,aarF domain containing kinase 5,HGNC:21738,8q24.3,
ADCY1,ENSG00000164742,107,AC1,adenylate cyclase 1,HGNC:232,7p12.3,103072
ADCY10,ENSG00000143199,55811,"SAC, Sacy, SACI, HCA2, RP1-313L4.2",adenylate cyclase 10,HGNC:21285,1q24.2,605205
ADCY2,ENSG00000078295,108,"HBAC2, KIAA1060, AC2",adenylate cyclase 2,HGNC:233,5p15.31,103071
ADCY3,ENSG00000138031,109,AC3,adenylate cyclase 3,HGNC:234,2p23.3,600291
ADCY4,ENSG00000129467,196883,AC4,adenylate cyclase 4,HGNC:235,14q12,600292
ADCY5,ENSG00000173175,111,AC5,adenylate cyclase 5,HGNC:236,3q21.1,600293
ADCY6,ENSG00000174233,112,AC6,adenylate cyclase 6,HGNC:237,12q13.12,600294
ADCY7,ENSG00000121281,113,"KIAA0037, AC7",adenylate cyclase 7,HGNC:238,16q12.1,600385
ADCY8,ENSG00000155897,114,"HBAC1, AC8",adenylate cyclase 8,HGNC:239,8q24.22,103070
ADCY9,ENSG00000162104,115,AC9,adenylate cyclase 9,HGNC:240,16p13.3,603302
ADCYAP1,ENSG00000141433,116,PACAP,adenylate cyclase activating polypeptide 1,HGNC:241,18p11.32,102980
ADCYAP1R1,ENSG00000078549,117,"PAC1, PACAPR, PAC1R",ADCYAP receptor type I,HGNC:242,7p14.3,102981
ADD1,ENSG00000087274,118,,adducin 1,HGNC:243,4p16.3,102680
ADD2,ENSG00000075340,119,ADDB,adducin 2,HGNC:244,2p13.3,102681
ADD3,ENSG00000148700,120,,adducin 3,HGNC:245,10q25.1-q25.2,601568
ADGB,ENSG00000118492,79747,"FLJ23121, dJ408K24.1, CAPN16",androglobin,HGNC:21212,6q24.3,614630
ADGRA1,ENSG00000197177,84435,KIAA1828,adhesion G protein-coupled receptor A1,HGNC:13838,10q26.3,612302
ADGRA2,ENSG00000020181,25960,"TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390",adhesion G protein-coupled receptor A2,HGNC:17849,8p11.23,606823
ADGRA3,ENSG00000152990,166647,"FLJ38547, PGR21",adhesion G protein-coupled receptor A3,HGNC:13839,4p15.2,612303
ADGRB1,ENSG00000181790,575,,adhesion G protein-coupled receptor B1,HGNC:943,8q24.3,602682
ADGRB2,ENSG00000121753,576,,adhesion G protein-coupled receptor B2,HGNC:944,1p35.2,602683
ADGRB3,ENSG00000135298,577,KIAA0550,adhesion G protein-coupled receptor B3,HGNC:945,6q12-q13,602684
ADGRD1,ENSG00000111452,283383,"DKFZp434B1272, PGR25",adhesion G protein-coupled receptor D1,HGNC:19893,12q24.33,613639
ADGRD2,ENSG00000180264,347088,PGR24,adhesion G protein-coupled receptor D2,HGNC:18651,9q33.3,
ADGRE1,ENSG00000174837,2015,,adhesion G protein-coupled receptor E1,HGNC:3336,19p13.3-p13.2,600493
ADGRE2,ENSG00000127507,30817,CD312,adhesion G protein-coupled receptor E2,HGNC:3337,19p13.12,606100
ADGRE3,ENSG00000131355,84658,,adhesion G protein-coupled receptor E3,HGNC:23647,19p13.12,606101
ADGRE5,ENSG00000123146,976,TM7LN1,adhesion G protein-coupled receptor E5,HGNC:1711,19p13.12,601211
ADGRF1,ENSG00000153292,266977,"hGPCR36, PGR19",adhesion G protein-coupled receptor F1,HGNC:18990,6p12.3,617430
ADGRF2,ENSG00000164393,222611,"hGPCR35, PGR20",adhesion G protein-coupled receptor F2,HGNC:18991,6p12.3,
ADGRF3,ENSG00000173567,165082,"hGPCR37, PGR23",adhesion G protein-coupled receptor F3,HGNC:18989,2p23.3,
ADGRF4,ENSG00000153294,221393,"FLJ38076, PGR18",adhesion G protein-coupled receptor F4,HGNC:19011,6p12.3,614268
ADGRF5,ENSG00000069122,221395,"DKFZp564O1923, KIAA0758",adhesion G protein-coupled receptor F5,HGNC:19030,6p12.3,
ADGRG1,ENSG00000205336,9289,"TM7LN4, TM7XN1",adhesion G protein-coupled receptor G1,HGNC:4512,16q21,604110
ADGRG2,ENSG00000173698,10149,"HE6, TM7LN2, EDDM6",adhesion G protein-coupled receptor G2,HGNC:4516,Xp22.13,300572
ADGRG3,ENSG00000182885,222487,"Pb99, PGR26",adhesion G protein-coupled receptor G3,HGNC:13728,16q21,
ADGRG4,ENSG00000156920,139378,"RP1-299I16, PGR17",adhesion G protein-coupled receptor G4,HGNC:18992,Xq26.3,
ADGRG5,ENSG00000159618,221188,PGR27,adhesion G protein-coupled receptor G5,HGNC:19010,16q21,616965
ADGRG6,ENSG00000112414,57211,FLJ14937,adhesion G protein-coupled receptor G6,HGNC:13841,6q24.2,612243
ADGRG7,ENSG00000144820,84873,FLJ14454,adhesion G protein-coupled receptor G7,HGNC:19241,3q12.2,612307
ADGRL1,ENSG00000072071,22859,"KIAA0821, CIRL1, LEC2",adhesion G protein-coupled receptor L1,HGNC:20973,19p13.12,616416
ADGRL2,ENSG00000117114,23266,"KIAA0786, LEC1",adhesion G protein-coupled receptor L2,HGNC:18582,1p31.1,607018
ADGRL3,ENSG00000150471,23284,"KIAA0768, LEC3",adhesion G protein-coupled receptor L3,HGNC:20974,4q13.1,616417
ADGRL4,ENSG00000162618,64123,ETL,adhesion G protein-coupled receptor L4,HGNC:20822,1p31.1,616419
ADGRV1,ENSG00000164199,84059,"DKFZp761P0710, KIAA0686, FEB4, VLGR1",adhesion G protein-coupled receptor V1,HGNC:17416,5q14.3,602851
ADH1A,ENSG00000187758,124,,"alcohol dehydrogenase 1A (class I), alpha polypeptide",HGNC:249,4q23,103700
ADH1B,ENSG00000196616,125,,"alcohol dehydrogenase 1B (class I), beta polypeptide",HGNC:250,4q23,103720
ADH1C,ENSG00000248144,126,,"alcohol dehydrogenase 1C (class I), gamma polypeptide",HGNC:251,4q23,103730
ADH4,ENSG00000198099,127,ADH-2,"alcohol dehydrogenase 4 (class II), pi polypeptide",HGNC:252,4q23,103740
ADH5,ENSG00000197894,128,"ADH-3, ADHX, GSNOR","alcohol dehydrogenase 5 (class III), chi polypeptide",HGNC:253,4q23,103710
ADH6,ENSG00000172955,130,ADH-5,alcohol dehydrogenase 6 (class V),HGNC:255,4q23,103735
ADH7,ENSG00000196344,131,ADH-4,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",HGNC:256,4q23,600086
ADHFE1,ENSG00000147576,137872,"ADHFe1, FLJ32430",alcohol dehydrogenase iron containing 1,HGNC:16354,8q13.1,611083
ADI1,ENSG00000182551,55256,"SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD",acireductone dioxygenase 1,HGNC:30576,2p25.3,613400
ADIG,ENSG00000182035,149685,"MGC39724, SMAF1, RP5-1100H13.2",adipogenin,HGNC:28606,20q11.23,611396
ADIPOQ,ENSG00000181092,9370,"ACRP30, AdipoQ, apM1, GBP28, adiponectin","adiponectin, C1Q and collagen domain containing",HGNC:13633,3q27.3,605441
ADIPOR1,ENSG00000159346,51094,"PAQR1, ACDCR1",adiponectin receptor 1,HGNC:24040,1q32.1,607945
ADIPOR2,ENSG00000006831,79602,"PAQR2, ACDCR2",adiponectin receptor 2,HGNC:24041,12p13.33,607946
ADIRF,ENSG00000148671,10974,"APM2, AFRO",adipogenesis regulatory factor,HGNC:24043,10q23.2,
ADK,ENSG00000156110,132,AK,adenosine kinase,HGNC:257,10q22.2,102750
ADM,ENSG00000148926,133,AM,adrenomedullin,HGNC:259,11p15.4,103275
ADM2,ENSG00000128165,79924,"AM2, FLJ21135",adrenomedullin 2,HGNC:28898,22q13.33,608682
ADM5,ENSG00000224420,199800,AM5,adrenomedullin 5 (putative),HGNC:27293,19q13.33,
ADNP,ENSG00000101126,23394,"KIAA0784, ADNP1",activity dependent neuroprotector homeobox,HGNC:15766,20q13.13,611386
ADNP2,ENSG00000101544,22850,KIAA0863,ADNP homeobox 2,HGNC:23803,18q23,617422
ADO,ENSG00000181915,84890,FLJ14547,2-aminoethanethiol dioxygenase,HGNC:23506,10q21.3,611392
ADORA1,ENSG00000163485,134,RDC7,adenosine A1 receptor,HGNC:262,1q32.1,102775
ADORA2A,ENSG00000128271,135,RDC8,adenosine A2a receptor,HGNC:263,22q11.23,102776
ADORA2B,ENSG00000170425,136,,adenosine A2b receptor,HGNC:264,17p12,600446
ADORA3,ENSG00000282608,140,AD026,adenosine A3 receptor,HGNC:268,1p13.2,600445
ADPGK,ENSG00000159322,83440,"DKFZp434B195, ADP-GK",ADP dependent glucokinase,HGNC:25250,15q24.1,611861
ADPRH,ENSG00000144843,141,ARH1,ADP-ribosylarginine hydrolase,HGNC:269,3q13.33,603081
ADPRHL1,ENSG00000153531,113622,ARH2,ADP-ribosylhydrolase like 1,HGNC:21303,13q34,610620
ADPRM,ENSG00000170222,56985,MDS006,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",HGNC:30925,17p13.1,
ADPRS,ENSG00000116863,54936,"ARH3, FLJ20446",ADP-ribosylserine hydrolase,HGNC:21304,1p34.3,610624
ADRA1A,ENSG00000120907,148,ADRA1L1,adrenoceptor alpha 1A,HGNC:277,8p21.2,104221
ADRA1B,ENSG00000170214,147,,adrenoceptor alpha 1B,HGNC:278,5q33.3,104220
ADRA1D,ENSG00000171873,146,"ADRA1R, ADRA1A, ADRA1",adrenoceptor alpha 1D,HGNC:280,20p13,104219
ADRA2A,ENSG00000150594,150,ADRAR,adrenoceptor alpha 2A,HGNC:281,10q25.2,104210
ADRA2B,ENSG00000274286,151,ADRARL1,adrenoceptor alpha 2B,HGNC:282,2q11.2,104260
ADRA2C,ENSG00000184160,152,ADRARL2,adrenoceptor alpha 2C,HGNC:283,4p16.3,104250
ADRB1,ENSG00000043591,153,,adrenoceptor beta 1,HGNC:285,10q25.3,109630
ADRB2,ENSG00000169252,154,"ADRBR, BAR, B2AR",adrenoceptor beta 2,HGNC:286,5q32,109690
ADRB3,ENSG00000188778,155,,adrenoceptor beta 3,HGNC:288,8p11.23,109691
ADRM1,ENSG00000130706,11047,"GP110, Rpn13, ARM1",adhesion regulating molecule 1,HGNC:15759,20q13.33,610650
ADSL,ENSG00000239900,158,,adenylosuccinate lyase,HGNC:291,22q13.1,608222
ADSS1,ENSG00000185100,122622,FLJ38602,adenylosuccinate synthase 1,HGNC:20093,14q32.33,612498
ADSS2,ENSG00000035687,159,,adenylosuccinate synthase 2,HGNC:292,1q44,103060
ADTRP,ENSG00000111863,84830,"dJ413H6.1, AIG1L",androgen dependent TFPI regulating protein,HGNC:21214,6p24.1,614348
AEBP1,ENSG00000106624,165,ACLP,AE binding protein 1,HGNC:303,7p13,602981
AEBP2,ENSG00000139154,121536,MGC17922,AE binding protein 2,HGNC:24051,12p12.3,617934
AEN,ENSG00000181026,64782,"FLJ12484, FLJ12562",apoptosis enhancing nuclease,HGNC:25722,15q26.1,610177
AFAP1,ENSG00000196526,60312,"AFAP-110, AFAP",actin filament associated protein 1,HGNC:24017,4p16.1,608252
AFAP1L1,ENSG00000157510,134265,FLJ36748,actin filament associated protein 1 like 1,HGNC:26714,5q32,614410
AFAP1L2,ENSG00000169129,84632,"FLJ14564, Em:AC005383.4, XB130",actin filament associated protein 1 like 2,HGNC:25901,10q25.3,612420
AFDN,ENSG00000130396,4301,"AF-6, AF6","afadin, adherens junction formation factor",HGNC:7137,6q27,159559
AFF1,ENSG00000172493,4299,"AF-4, AF4",AF4/FMR2 family member 1,HGNC:7135,4q21.3-q22.1,159557
AFF2,ENSG00000155966,2334,FRAXE,AF4/FMR2 family member 2,HGNC:3776,Xq28,300806
AFF3,ENSG00000144218,3899,MLLT2-like,AF4/FMR2 family member 3,HGNC:6473,2q11.2,601464
AFF4,ENSG00000072364,27125,"AF5Q31, MCEF",AF4/FMR2 family member 4,HGNC:17869,5q31.1,604417
AFG1L,ENSG00000135537,246269,AFG1,AFG1 like ATPase,HGNC:16411,6q21,617469
AFG3L2,ENSG00000141385,10939,SPAX5,AFG3 like matrix AAA peptidase subunit 2,HGNC:315,18p11.21,604581
AFM,ENSG00000079557,173,"ALB2, ALBA",afamin,HGNC:316,4q13.3,104145
AFMID,ENSG00000183077,125061,"DKFZp686F03259, KF",arylformamidase,HGNC:20910,17q25.3,
AFP,ENSG00000081051,174,FETA,alpha fetoprotein,HGNC:317,4q13.3,104150
AFTPH,ENSG00000119844,54812,"MGC33965, FLJ20080, FLJ23793, Nbla10388",aftiphilin,HGNC:25951,2p14,
AGA,ENSG00000038002,175,ASRG,aspartylglucosaminidase,HGNC:318,4q34.3,613228
AGAP1,ENSG00000157985,116987,"KIAA1099, GGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",HGNC:16922,2q37.2,608651
AGAP2,ENSG00000135439,116986,,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",HGNC:16921,12q14.1,605476
AGAP3,ENSG00000133612,116988,,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",HGNC:16923,7q36.1,616813
AGAP4,ENSG00000188234,119016,"Em:AC012044.1, MRIP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 4",HGNC:23459,10q11.22,
AGAP5,ENSG00000172650,729092,Em:AC073389.1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",HGNC:23467,10q22.2,
AGAP6,ENSG00000204149,414189,bA324H6.1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",HGNC:23466,10q11.23,
AGAP9,ENSG00000204172,642517,"bA301J7.2, FLJ00312","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",HGNC:23463,10q11.22,
AGBL1,ENSG00000273540,123624,"FLJ32310, CCP4",ATP/GTP binding protein like 1,HGNC:26504,15q25.3,615496
AGBL2,ENSG00000165923,79841,"FLJ23598, CCP2",ATP/GTP binding protein like 2,HGNC:26296,11p11.2,617345
AGBL3,ENSG00000146856,340351,"MGC32955, CCP3",ATP/GTP binding protein like 3,HGNC:27981,7q33,617346
AGBL4,ENSG00000186094,84871,"FLJ14442, CCP6",ATP/GTP binding protein like 4,HGNC:25892,1p33,616476
AGBL5,ENSG00000084693,60509,"FLJ21839, CCP5",ATP/GTP binding protein like 5,HGNC:26147,2p23.3,615900
AGER,ENSG00000204305,177,"RAGE, SCARJ1",advanced glycosylation end-product specific receptor,HGNC:320,6p21.32,600214
AGFG1,ENSG00000173744,3267,"RIP, RAB",ArfGAP with FG repeats 1,HGNC:5175,2q36.3,600862
AGFG2,ENSG00000106351,3268,RABR,ArfGAP with FG repeats 2,HGNC:5177,7q22.1,604019
AGGF1,ENSG00000164252,55109,"VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7",angiogenic factor with G-patch and FHA domains 1,HGNC:24684,5q13.3,608464
AGK,ENSG00000006530,55750,FLJ10842,acylglycerol kinase,HGNC:21869,7q34,610345
AGL,ENSG00000162688,178,,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",HGNC:321,1p21.2,610860
AGMAT,ENSG00000116771,79814,FLJ23384,agmatinase,HGNC:18407,1p36.21,617887
AGMO,ENSG00000187546,392636,FLJ16237,alkylglycerol monooxygenase,HGNC:33784,7p21.2,613738
AGO1,ENSG00000092847,26523,hAGO1,argonaute RISC component 1,HGNC:3262,1p34.3,606228
AGO2,ENSG00000123908,27161,"hAGO2, Q10, LINC00980",argonaute RISC catalytic component 2,HGNC:3263,8q24.3,606229
AGO3,ENSG00000126070,192669,"hAGO3, FLJ12765",argonaute RISC catalytic component 3,HGNC:18421,1p34.3,607355
AGO4,ENSG00000134698,192670,"hAGO4, KIAA1567, FLJ20033",argonaute RISC component 4,HGNC:18424,1p34.3,607356
AGPAT1,ENSG00000204310,10554,LPAAT-alpha,1-acylglycerol-3-phosphate O-acyltransferase 1,HGNC:324,6p21.32,603099
AGPAT2,ENSG00000169692,10555,LPAAT-beta,1-acylglycerol-3-phosphate O-acyltransferase 2,HGNC:325,9q34.3,603100
AGPAT3,ENSG00000160216,56894,"LPAAT-gamma, LPAAT3",1-acylglycerol-3-phosphate O-acyltransferase 3,HGNC:326,21q22.3,614794
AGPAT4,ENSG00000026652,56895,"LPAAT-delta, dJ473J16.2",1-acylglycerol-3-phosphate O-acyltransferase 4,HGNC:20885,6q26,614795
AGPAT5,ENSG00000155189,55326,"FLJ11210, LPAAT-e, LPAAT-epsilon",1-acylglycerol-3-phosphate O-acyltransferase 5,HGNC:20886,8p23.1,614796
AGPS,ENSG00000018510,8540,"ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S",alkylglycerone phosphate synthase,HGNC:327,2q31.2,603051
AGR2,ENSG00000106541,10551,"XAG-2, HAG-2, AG2, PDIA17","anterior gradient 2, protein disulphide isomerase family member",HGNC:328,7p21.1,606358
AGR3,ENSG00000173467,155465,"HAG3, hAG-3, BCMP11, PDIA18","anterior gradient 3, protein disulphide isomerase family member",HGNC:24167,7p21.1,609482
